/*!40101 SET @OLD_CHARACTER_SET_CLIENT=@@CHARACTER_SET_CLIENT */;
/*!40101 SET @OLD_CHARACTER_SET_RESULTS=@@CHARACTER_SET_RESULTS */;
/*!40101 SET @OLD_COLLATION_CONNECTION=@@COLLATION_CONNECTION */;
/*!40101 SET NAMES utf8 */;

/*!40014 SET @OLD_UNIQUE_CHECKS=@@UNIQUE_CHECKS, UNIQUE_CHECKS=0 */;
/*!40014 SET @OLD_FOREIGN_KEY_CHECKS=@@FOREIGN_KEY_CHECKS, FOREIGN_KEY_CHECKS=0 */;
/*!40101 SET @OLD_SQL_MODE=@@SQL_MODE, SQL_MODE='NO_AUTO_VALUE_ON_ZERO' */;
/*
IMPORTANT NOTE: The flags images should be retrieved from an absolute URL, provided by BruceClay.
*/
--
-- Dumping data for table "country"
--
INSERT INTO country(Id,Name,FlagUrl,SearchEngineImportance) VALUES 
 (1,'Afghanistan','images/country/afghanistan-little-flag.gif',0),
 (2,'Albania',NULL,0),
 (3,'Algeria',NULL,0),
 (4,'American Samoa',NULL,0),
 (5,'Andorra',NULL,0),
 (6,'Angola',NULL,0),
 (7,'Anguilla',NULL,0),
 (8,'Antarctica',NULL,0),
 (9,'Antigua And Barbuda',NULL,0),
 (10,'Argentina','images/country/argentina-little-flag.gif',0),
 (11,'Armenia',NULL,0),
 (12,'Aruba',NULL,0),
 (13,'Australia','images/country/australia-little-flag.gif',3),
 (14,'Austria',NULL,0),
 (15,'Azerbaijan',NULL,0),
 (16,'Bahamas',NULL,0),
 (17,'Bahrain',NULL,0),
 (18,'Bangladesh',NULL,0),
 (19,'Barbados',NULL,0),
 (20,'Belarus',NULL,0),
 (21,'Belgium','images/country/belgium-little-flag.gif',0),
 (22,'Belize',NULL,0),
 (23,'Benin',NULL,0),
 (24,'Bermuda',NULL,0),
 (25,'Bhutan',NULL,0),
 (26,'Bolivia',NULL,0),
 (27,'Bosnia And Herzegovina',NULL,0),
 (28,'Botswana',NULL,0),
 (29,'Bouvet Island',NULL,0),
 (30,'Brazil',NULL,0),
 (31,'British Indian Ocean Territory',NULL,0),
 (32,'Brunei Darussalam',NULL,0),
 (33,'Bulgaria',NULL,0),
 (34,'Burkina Faso',NULL,0),
 (35,'Burundi',NULL,0),
 (36,'Cambodia',NULL,0),
 (37,'Cameroon',NULL,0),
 (38,'Canada',NULL,0),
 (39,'Cape Verde',NULL,0),
 (40,'Cayman Islands',NULL,0),
 (41,'Central African Republic',NULL,0),
 (42,'Chad',NULL,0),
 (43,'Chile',NULL,0),
 (44,'China',NULL,0),
 (45,'Christmas Island',NULL,0),
 (46,'Cocos (Keeling) Islands',NULL,0),
 (47,'Colombia',NULL,0),
 (48,'Comoros',NULL,0),
